emoji;category;score
😠;anger;1.0
😡;anger;1.0
😤;anger;0.75
😒;anger;0.58
👎;anger;0.5
👀;anticipation;0.81
💭;anticipation;0.64
💰;anticipation;0.58
😬;anticipation;0.53
✊;anticipation;0.5
😖;disgust;0.67
😣;disgust;0.67
😫;disgust;0.64
💩;disgust;0.64
😷;disgust;0.53
😨;fear;0.97
😱;fear;0.92
😰;fear;0.83
😟;fear;0.72
👻;fear;0.69
☺;joy;1.0
😆;joy;0.94
😂;joy;0.94
😹;joy;0.94
😊;joy;0.92
😢;sadness;1.0
😭;sadness;1.0
💔;sadness;0.94
😞;sadness;0.92
😥;sadness;0.81
🙈;surprise;0.5
🎉;surprise;0.5
😍;surprise;0.5
😳;surprise;0.44
🙊;surprise;0.42
😙;trust;0.83
💕;trust;0.75
🌹;trust;0.72
💋;trust;0.69
😚;trust;0.67
